FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
1,93310000,06,4,93,Palm Beach,4,22.01,23.555,2484.5477,2484.54766654847
2,48190000,06,3,48,Escambia,3,0,1.009,1632.4393,1632.43934942385
3,88081000,01,4,88,Indian River,4,0,19.198,30874.7542,30874.7541516073
4,71020000,06,2,71,Clay,2,0,1.382,2221.6302,2221.6301584682
5,13030000,07,1,13,Manatee,1,0,1.309,2102.0074,2102.00742691873
6,79040000,05,5,79,Volusia,5,14.345,15.172,1331.1194,1331.11937803001
7,75060000,05,5,75,Orange,5,5.217,9.455,6811.5785,6811.57849887184
8,33010000,04,2,33,Lafayette,2,14.33,31.029,26880.5815,26880.5815197487
9,55050000,05,3,55,Leon,3,0.935,5.685,7644.2581,7644.25805770472
10,93110000,07,4,93,Palm Beach,4,3.998,4.473,764.4393,764.439254273507
11,03080000,04,1,03,Collier,1,17.44,36.243,30252.6574,30252.6574209597
12,59040000,04,3,59,Wakulla,3,0,8.503,13699.0511,13699.0511053184
13,72160000,05,2,72,Duval,2,0,5.194,8355.5817,8355.5817371837
14,10070000,03,7,10,Hillsborough,7,0,2.02,3253.4104,3253.41042947414
15,12070000,05,1,12,Lee,1,2.966,4.391,2294.2453,2294.2452554024
16,09040000,04,1,09,Highlands,1,2.893,5.149,3634.7508,3634.75079576725
17,57002000,01,3,57,Okaloosa,3,0,24.554,39657.8019,39657.8019236508
18,79190000,05,5,79,Volusia,5,9.791,10.389,963.3347,963.334720983461
19,75050000,05,5,75,Orange,5,5.065,6.081,1635.7213,1635.72130813376
20,58001000,05,3,58,Santa Rosa,3,0,3.561,5743.8731,5743.87308172168
21,48070000,07,3,48,Escambia,3,2.68,6.767,6615.3329,6615.33287566572
22,28020000,06,2,28,Bradford,2,11.17,12.465,2081.9281,2081.92806644852
23,75260000,07,5,75,Orange,5,1.517,2.206,1108.8723,1108.87231519922
24,70160001,04,5,70,Brevard,5,1.114,1.732,994.6219,994.621856477094
25,29070000,06,2,29,Columbia,2,4,5.766,2840.0675,2840.0675199064
26,16110000,05,1,16,Polk,1,27.354,28.781,2295.4992,2295.49920848994
27,31050000,06,2,31,Gilchrist,2,0,0.317,510.2307,510.230668224444
28,93020000,07,4,93,Palm Beach,4,7.876,9.137,2029.6416,2029.64157534809
29,72160448,06,2,72,Duval,2,0.9,1.111,339.2688,339.268788060186
30,91070000,07,1,91,Okeechobee,1,8.318,10.683,3810.2774,3810.27744680018
31,72090444,06,2,72,Duval,2,0,0.19,303.8499,303.849944263862
32,90060116,07,6,90,Monroe,6,0,0.552,885.6595,885.659500874315
33,13050102,05,1,13,Manatee,1,0,0.258,416.9584,416.958399823306
34,18010000,06,5,18,Sumter,5,22.46,24.055,2567.9781,2567.97811090553
35,87034000,06,6,87,Miami-Dade,6,0,1.711,2753.1396,2753.1395535183
36,48004000,05,3,48,Escambia,3,6.829,8.311,2395.5122,2395.51224055988
37,28010000,06,2,28,Bradford,2,7.545,8.934,2234.8938,2234.89382782852
38,05020000,04,1,05,Glades,1,0,9.482,15251.1192,15251.1191759246
39,79070005,04,5,79,Volusia,5,0,1.286,2069.3698,2069.36983189908
40,16010000,05,1,16,Polk,1,4.131,5.337,1938.6592,1938.65924742106
41,55321000,05,3,55,Leon,3,0,0.114,183.9096,183.909631642259
42,16060000,02,1,16,Polk,1,5.678,8.263,4159.6177,4159.61772237704
43,76020000,06,2,76,Putnam,2,20.327,21.935,2588.135,2588.13499973009
44,78030000,06,2,78,St. Johns,2,1.949,18.906,27292.1934,27292.1933600472
45,16250000,05,1,16,Polk,1,17.986,19.54,2500.5659,2500.5659053434
46,75472000,01,5,75,Orange,8,0,2.192,3546.7047,3546.70473341333
47,35010000,04,2,35,Madison,2,21.304,27.713,10317.2723,10317.27227142
48,93230000,04,4,93,Palm Beach,4,0,2.29,3681.6664,3681.66640055889
49,47020000,04,3,47,Calhoun,3,32.592,35.211,4222.3912,4222.39121666211
50,26070000,06,2,26,Alachua,2,2.035,3.629,2565.7861,2565.78610352377
51,10160000,05,7,10,Hillsborough,7,2.045,6.167,6632.1489,6632.14887453933
52,13040002,05,1,13,Manatee,1,0,0.073,128.8969,128.896880011487
53,87004000,01,6,87,Miami-Dade,6,0,4.91,7899.1464,7899.14638681955
54,01040000,06,1,01,Charlotte,1,0,1.532,2467.2191,2467.21912419113
55,75190001,03,5,75,Orange,5,39.12,40,1415.5445,1415.54451691281
56,53020000,04,3,53,Jackson,3,19.58,23.665,6583.3854,6583.3853618329
57,77030000,06,5,77,Seminole,5,8.483,8.929,717.7079,717.707868480821
58,87072000,05,6,87,Miami-Dade,6,5.161,7.604,3928.737,3928.73704844699
59,90060000,02,6,90,Monroe,6,32.381,38.777,10293.9697,10293.9697283384
60,55160100,05,3,55,Leon,3,0,0.501,814.3895,814.389513107826
61,87160000,05,6,87,Miami-Dade,6,8.089,8.745,1053.5897,1053.58972228306
62,08010000,07,7,08,Hernando,7,8.142,10.078,3120.5088,3120.50878574959
63,26110000,06,2,26,Alachua,2,7.402,8.214,1308.3484,1308.34844373985
64,70001000,03,5,70,Brevard,5,0,4.406,7095.0029,7095.00288844675
65,13150000,06,1,13,Manatee,1,4.088,4.185,156.0395,156.039506156277
66,57060000,06,3,57,Okaloosa,3,0,2.424,3912.5222,3912.52218013649
67,34070000,04,2,34,Levy,2,1.6,32.362,49449.8859,49449.8858536709
68,16331000,05,1,16,Polk,1,0,1.136,1832.2164,1832.21635123251
69,58002000,01,3,58,Santa Rosa,3,2.807,25.905,37328.2814,37328.2813632472
70,48020000,05,3,48,Escambia,3,7.644,10.545,4693.4655,4693.46553177381
71,88060009,07,4,88,Indian River,4,0,0.057,91.2231,91.2231136267314
72,10190000,01,7,10,Hillsborough,7,0,7.362,11853.8016,11853.8016424706
73,75050000,06,5,75,Orange,5,15.357,15.977,998.1439,998.143897733896
74,32100000,01,2,32,Hamilton,2,0,28.746,46253.7424,46253.74239025
75,04040101,06,1,04,Desoto,1,0,1.503,2418.5675,2418.56752494722
76,93030000,05,4,93,Palm Beach,4,1.972,7.514,8933.1054,8933.10542561211
77,03080000,03,1,03,Collier,1,39.819,44.884,8149.2086,8149.20860588287
78,61040000,03,3,61,Washington,3,12.54,12.961,679.0051,679.005126267033
79,72150000,06,2,72,Duval,2,0.686,2.897,3557.095,3557.09499662203
80,10270006,03,7,10,Hillsborough,7,0.167,0.217,84.7051,84.7050617006851
81,13130000,05,1,13,Manatee,1,6.095,8.893,4511.6166,4511.61655311974
82,77120000,06,5,77,Seminole,5,7.868,9.04,1886.6617,1886.66171189308
83,17030000,06,1,17,Sarasota,1,3.87,8.957,8194.609,8194.60900421124
84,79210000,03,5,79,Volusia,5,0,0.192,309.4077,309.407727486563
85,75020000,05,5,75,Orange,5,4.539,7.274,4401.3706,4401.37063669072
86,48004000,07,3,48,Escambia,3,5.949,6.829,1422.4334,1422.43337850159
87,26005000,06,2,26,Alachua,2,4.664,7.157,4011.8621,4011.86211643973
88,87260529,07,6,87,Miami-Dade,6,0,1.029,1624.0653,1624.06529743318
89,70150000,03,5,70,Brevard,5,0,7.392,11896.059,11896.0590160153
90,16030000,07,1,16,Polk,1,29.063,29.132,111.0757,111.075718795489
91,78080000,01,2,78,St. Johns,2,0,34.855,56063.7704,56063.7704328543
92,16110000,05,1,16,Polk,1,5.31,6.514,1936.8548,1936.85478462449
93,35010000,04,2,35,Madison,2,28.547,36.206,12329.5206,12329.5205792427
94,93020000,07,4,93,Palm Beach,4,3.651,5.776,3420.0563,3420.0562848153
95,72010000,06,2,72,Duval,2,13.835,17.173,5370.6538,5370.65383747325
96,91050000,03,1,91,Okeechobee,1,6.416,11.994,8972.9813,8972.98131753958
97,72100000,05,2,72,Duval,2,0.491,3.199,4361.7063,4361.7062835935
98,70110000,05,5,70,Brevard,5,7.036,8.54,2425.1447,2425.14474917194
99,13040000,04,1,13,Manatee,1,1.188,3.256,3313.8767,3313.87672999336
100,53070000,04,3,53,Jackson,3,0,0.959,1545.4315,1545.43146261081
101,18120000,05,5,18,Sumter,5,0,1.016,1630.0699,1630.06990068811
102,01010000,02,1,01,Charlotte,1,17.15,18.904,2821.1155,2821.11551295062
103,87027000,05,6,87,Miami-Dade,6,0,0.479,772.1389,772.138942756558
104,72470000,01,2,72,Duval,8,0,8.39,13509.7654,13509.7654412698
105,27070000,06,2,27,Baker,2,5.617,7.544,3101.1042,3101.10424909878
106,87080001,06,6,87,Miami-Dade,6,0,3.034,4877.0944,4877.09439200036
107,17180000,05,1,17,Sarasota,1,0.106,3.074,4783.3813,4783.38134385061
108,06030000,03,1,06,Hardee,1,6.969,15.932,14422.2192,14422.2192478512
109,79070000,03,5,79,Volusia,5,10.2,26.987,26950.8986,26950.8985821588
110,16006000,03,1,16,Polk,1,4.432,7.571,5056.4641,5056.46406944672
111,55180000,06,3,55,Leon,3,0,0.184,296.8675,296.867482236313
112,75080000,06,5,75,Orange,5,15.851,19.01,5083.7634,5083.76342838672
113,08470000,01,7,08,Hernando,8,0,18.653,30019.3595,30019.3594755056
114,29010000,04,2,29,Columbia,2,0,4.848,7805.0234,7805.02342904694
115,70050000,05,5,70,Brevard,5,9.679,15.244,8954.3189,8954.31887306892
116,86130000,05,4,86,Broward,4,3.228,5.421,3534.8914,3534.89143081067
117,16180000,03,1,16,Polk,1,9.193,15.628,10368.2831,10368.2831439345
118,57150004,02,3,57,Okaloosa,3,0,1.426,2297.167,2297.16695675983
119,34050000,02,2,34,Levy,2,0.75,35.061,55188.7059,55188.7059412168
120,75008160,01,5,75,Orange,5,0,6.193,9965.6492,9965.6492300561
121,58030000,03,3,58,Santa Rosa,3,4.417,24.005,31662.0698,31662.0698170943
122,48190000,06,3,48,Escambia,3,3.677,4.294,998.1717,998.171681713989
123,26050000,03,2,26,Alachua,2,0,1.568,2521.8787,2521.87872209387
