FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
1,38650000,09,0.306,0.507,323.6383,2,38,Taylor,2,323.638319208999
2,77503000,18,0,2.263,3636.0321,5,77,Seminole,5,3636.03213770121
3,14000126,17,0,2.492,3985.3246,7,14,Pasco,7,3985.32461506654
4,01000024,17,0.394,1.458,1721.3414,1,01,Charlotte,1,1721.34143850351
5,01512000,17,0,1.703,2740.8256,1,01,Charlotte,1,2740.82561807741
6,14090000,14,14.56,20.286,9213.3804,7,14,Pasco,7,9213.38041073198
7,02000074,18,0,0.382,611.8301,7,02,Citrus,7,611.830138531842
8,77000029,17,0,0.878,1412.7393,5,77,Seminole,5,1412.73934613225
9,46000013,19,0,0.239,382.3465,3,46,Bay,3,382.346504583347
10,14121000,14,0,1.93,3116.9521,7,14,Pasco,7,3116.95213431621
11,01000179,17,0,0.647,1029.9487,1,01,Charlotte,1,1029.94872146541
12,77000249,18,0,1.083,1740.8261,5,77,Seminole,5,1740.82610480303
13,77000218,17,0,1.681,2718.1295,5,77,Seminole,5,2718.12946271126
14,14000080,16,0,3.826,6148.1856,7,14,Pasco,7,6148.18560310347
15,87270120,19,0,0.584,945.1553,6,87,Miami-Dade,6,945.155285618854
16,14000226,18,0,0.194,316.1995,7,14,Pasco,7,316.199497215994
17,38520000,17,0,1.426,2297.8423,2,38,Taylor,2,2297.84229231383
18,02560000,17,0,2.486,4005.6748,7,02,Citrus,7,4005.67475458712
19,70770500,19,0,0.12,196.2082,5,70,Brevard,5,196.208237890859
20,39900009,09,0,1.738,2796.6759,2,39,Union,2,2796.6759115593
21,14000201,17,0,1.366,2198.5764,7,14,Pasco,7,2198.57643284776
22,01000105,07,8.297,8.376,127.3472,1,01,Charlotte,1,127.34723822239
23,37040000,06,26.79,32.407,9036.737,2,37,Suwannee,2,9036.73695951391
24,87260100,19,0,0.34,550.5074,6,87,Miami-Dade,6,550.507404967213
25,77000204,17,0,0.98,1574.324,5,77,Seminole,5,1574.32401974602
26,37510000,07,1.207,12.141,17594.6041,2,37,Suwannee,2,17594.6040739939
27,70030101,14,0,1.397,2238.6385,5,70,Brevard,5,2238.63849381718
28,14900003,19,0,0.703,1124.6359,7,14,Pasco,7,1124.6359353535
29,70510001,18,0,2.148,3462.7325,5,70,Brevard,5,3462.73249295719
30,39507000,08,0,4.26,6854.207,2,39,Union,2,6854.20702006595
31,87471000,12,36.183,38.763,4157.0608,6,87,Miami-Dade,8,4157.06078306172
32,14000148,18,0,0.993,1595.1869,7,14,Pasco,7,1595.18691146886
33,01000036,07,0,0.174,280.9106,1,01,Charlotte,1,280.910647729835
34,02000042,17,0,2.078,3332.2277,7,02,Citrus,7,3332.22772486874
35,70180000,14,0,2.48,3993.5444,5,70,Brevard,5,3993.54441803307
36,37000045,08,0,1.528,2458.7697,2,37,Suwannee,2,2458.76967956138
37,02000058,08,0,5.229,8427.9218,7,02,Citrus,7,8427.92183941096
38,77000013,19,0,0.316,499.3567,5,77,Seminole,5,499.356732707681
39,70014000,14,0,4.604,7408.8177,5,70,Brevard,5,7408.81766168803
40,14507000,17,0,3.066,4941.6396,7,14,Pasco,7,4941.63957260339
41,01075000,11,9.151,21.968,20667.2977,1,01,Charlotte,1,20667.2977391049
42,77000411,18,0,1.527,2520.4269,5,77,Seminole,5,2520.4268765818
43,38651000,17,3.196,3.206,16.0789,2,38,Taylor,2,16.0788945904582
44,77501000,14,0,4.755,7656.2581,5,77,Seminole,5,7656.25811767832
45,14000121,18,0.786,2.452,2667.6142,7,14,Pasco,7,2667.61422822205
46,01000019,17,0,2.276,3657.987,1,01,Charlotte,1,3657.98698933921
47,02000004,17,0,3.284,5301.855,7,02,Citrus,7,5301.85498893582
48,70160002,07,0.002,0.784,1258.8676,5,70,Brevard,5,1258.86758680124
49,02560000,07,2.486,7.793,8551.0267,7,02,Citrus,7,8551.0266749318
50,70900001,19,0,0.263,423.153,5,70,Brevard,5,423.153005473792
51,46000037,09,0,4.846,7824.7242,3,46,Bay,3,7824.72420781513
52,14120000,14,10.692,11.212,836.7289,7,14,Pasco,7,836.728861068418
53,01000537,17,0,1.918,3086.2889,1,01,Charlotte,1,3086.28890907735
54,77000251,18,0,1.226,1972.047,5,77,Seminole,5,1972.0469834464
55,77000226,17,0,1.052,1691.9078,5,77,Seminole,5,1691.90783268574
56,14000099,17,0,0.102,163.7069,7,14,Pasco,7,163.706876809943
57,87260601,19,0,0.428,684.8571,6,87,Miami-Dade,6,684.857107977712
58,38030000,14,0,3.979,6407.0473,2,38,Taylor,2,6407.04731183526
59,14000233,18,0,1.637,2620.5881,7,14,Pasco,7,2620.58810129276
60,38509501,09,0,5.822,9372.1074,2,38,Taylor,2,9372.1073679041
61,02000051,08,0,2.189,3569.3771,7,02,Citrus,7,3569.37707354323
62,77000431,18,0,0.243,388.6955,5,77,Seminole,5,388.695545576929
63,39510000,07,8.377,8.93,889.5198,2,39,Union,2,889.519817964633
64,14000198,18,0,0.557,926.7494,7,14,Pasco,7,926.74937986399
65,01000087,17,0,2.7,4394.051,1,01,Charlotte,1,4394.05098996134
66,14000073,18,0,1.26,2023.535,7,14,Pasco,7,2023.53496333724
67,02050001,18,0,0.087,147.6638,7,02,Citrus,7,147.66383584954
68,77000065,17,0,0.218,355.6803,5,77,Seminole,5,355.680297113526
69,37505000,09,0,0.405,653.0946,2,37,Suwannee,2,653.094616682603
70,70050000,14,8.968,18.478,15301.9917,5,70,Brevard,5,15301.991666909
71,14900005,19,0,0.358,574.2292,7,14,Pasco,7,574.229211725997
72,77000425,18,0,0.713,1157.5152,5,77,Seminole,5,1157.51516978978
73,39000011,09,0,0.489,786.9088,2,39,Union,2,786.908780043804
74,87522500,16,0,3.818,6159.5663,6,87,Miami-Dade,6,6159.56627017043
75,14000140,18,0,0.563,903.5659,7,14,Pasco,7,903.565872253952
76,01000033,17,0,0.711,1148.3037,1,01,Charlotte,1,1148.30369391664
77,02000032,18,0,1.808,2907.1348,7,02,Citrus,7,2907.13479173675
78,02520000,16,10.691,11.897,1939.6974,7,02,Citrus,7,1939.69738833305
79,70501000,17,6.593,7.325,1178.5467,5,70,Brevard,5,1178.546746228
80,39600000,09,0,10.998,17691.1543,2,39,Union,2,17691.154319385
81,14000203,18,0,0.369,607.0445,7,14,Pasco,7,607.044546797793
82,01000089,17,2.42,3.726,2102.6563,1,01,Charlotte,1,2102.65628745152
83,14000077,18,0,1.007,1624.2998,7,14,Pasco,7,1624.29977494232
84,02040000,14,0.137,4.752,7388.0266,7,02,Citrus,7,7388.02662094256
85,77000077,16,0,2.049,3296.5264,5,77,Seminole,5,3296.5264134127
86,37560000,07,0,18.955,30503.8726,2,37,Suwannee,2,30503.872648883
87,70060000,14,17.528,36.148,29977.7509,5,70,Brevard,5,29977.750904083
88,14572000,14,0,1.774,2850.2546,7,14,Pasco,7,2850.25459884286
89,77000415,18,0,4.605,7407.4529,5,77,Seminole,5,7407.45290725788
90,38900012,19,0,0.52,838.1454,2,38,Taylor,2,838.145448606611
91,87504500,16,0,2.784,4480.6749,6,87,Miami-Dade,6,4480.67487413884
92,14000166,18,0,1.353,2167.8488,7,14,Pasco,7,2167.84881825501
93,01000071,17,0,1.07,1729.3646,1,01,Charlotte,1,1729.36462857303
94,02000016,17,0,4.366,7040.7796,7,02,Citrus,7,7040.77961512304
95,70180000,14,2.48,3.111,1016.0917,5,70,Brevard,5,1016.09173214737
96,37000048,09,0,4.041,6499.7385,2,37,Suwannee,2,6499.73850118991
97,02000063,08,0,0.981,1592.6095,7,02,Citrus,7,1592.60952342644
98,77000003,18,0,0.881,1413.5381,5,77,Seminole,5,1413.5380722076
99,70010000,14,0,6.259,10070.85,5,70,Brevard,5,10070.8500394007
100,14510001,17,0,0.013,20.6469,7,14,Pasco,7,20.6468773413168
101,01060000,14,9.23,10.428,1933.4234,1,01,Charlotte,1,1933.42341848718
102,77000253,19,0,0.714,1147.0611,5,77,Seminole,5,1147.06107839261
103,38580000,17,13.253,14.482,1978.2178,2,38,Taylor,2,1978.21776926439
104,77510000,16,2.049,8.232,9887.1258,5,77,Seminole,5,9887.12576278506
105,14000135,17,0,0.061,103.4328,7,14,Pasco,7,103.432789575634
106,01000007,06,0.941,1.18,384.6397,1,01,Charlotte,1,384.639669254022
107,02000006,18,1.522,5.336,6124.3448,7,02,Citrus,7,6124.34484616101
108,14050300,18,0,0.447,718.1315,7,14,Pasco,7,718.131468056638
109,38651000,07,0,3.196,5146.1122,2,38,Taylor,2,5146.11217909546
110,14000060,17,0,2.265,3650.8369,7,14,Pasco,7,3650.8369325092
111,70610500,18,0,1.373,2203.2234,5,70,Brevard,5,2203.22336839084
112,46000031,09,0,1.321,2137.4958,3,46,Bay,3,2137.49576446732
113,14120000,14,11.212,13.081,3007.4378,7,14,Pasco,7,3007.43780030222
114,01000174,17,0,0.613,991.7785,1,01,Charlotte,1,991.778505879413
115,37900009,09,0,2.933,4720.2127,2,37,Suwannee,2,4720.21274827715
116,77000237,18,0,0.254,403.1295,5,77,Seminole,5,403.129508808039
117,14000101,18,0,1.314,2115.0395,7,14,Pasco,7,2115.03945647307
118,87270140,19,0,0.901,1450.8839,6,87,Miami-Dade,6,1450.8839091625
119,38000018,09,0,0.9,1447.3572,2,38,Taylor,2,1447.35722457686
120,14050000,16,14.61,14.788,286.2973,7,14,Pasco,7,286.297276207984
121,38511000,09,0,2.498,4017.0597,2,38,Taylor,2,4017.05968437825
122,02540000,07,5.214,14.333,14660.9152,7,02,Citrus,7,14660.915244222
123,70471000,12,3.851,4.446,947.5107,5,70,Brevard,8,947.510662060716
124,39540000,08,6.071,11.004,7938.843,2,39,Union,2,7938.84295176741
125,87504504,16,0,1.73,2785.8411,6,87,Miami-Dade,6,2785.84106009656
126,14000193,18,0,0.959,1584.6681,7,14,Pasco,7,1584.66814063456
127,01000082,19,0,2.529,4070.5304,1,01,Charlotte,1,4070.53039153047
128,14000071,17,0,2.68,4300.228,7,14,Pasco,7,4300.22801217429
129,02070000,17,6.789,11.893,8197.4091,7,02,Citrus,7,8197.40905543124
130,77000059,17,0,1.858,3000.7468,5,77,Seminole,5,3000.74684370022
131,37550000,17,15.873,16.866,1597.9685,2,37,Suwannee,2,1597.9685142862
132,70120000,14,5.257,8.398,5055.8393,5,70,Brevard,5,5055.83927949619
133,14900004,19,0,1.448,2332.2473,7,14,Pasco,7,2332.24729423989
134,77000420,18,0.718,0.85,212.7277,5,77,Seminole,5,212.727741611237
135,38900010,19,0,0.168,270.4706,2,38,Taylor,2,270.470569734458
136,77502000,17,9.014,9.621,978.9363,5,77,Seminole,5,978.936266963628
137,14000173,18,0,0.716,1159.9672,7,14,Pasco,7,1159.96718980749
138,01000035,17,0,5.531,8886.7391,1,01,Charlotte,1,8886.73910973593
139,02000025,17,0,2.412,3870.3597,7,02,Citrus,7,3870.35972744786
140,70160001,07,1.114,1.732,994.6219,5,70,Brevard,5,994.621856477094
141,02000061,18,0,0.874,1410.6821,7,02,Citrus,7,1410.68214998511
142,77000004,16,2.309,4.274,3164.0993,5,77,Seminole,5,3164.09925943943
143,46000050,19,0.149,2.345,3551.8746,3,46,Bay,3,3551.87463233356
144,14570101,16,0,0.191,315.2193,7,14,Pasco,7,315.219277142678
145,01040000,14,0,6.425,10346.1584,1,01,Charlotte,1,10346.1584221803
