FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
1,10340000,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,3.076,7,10,Hillsborough,7,356898.0595,3096001.0938
2,16330000,C,N/A,N/A,SR 471,POLK,SR 35/SR 700/US 98,776,01,03,02,ON,0,1,16,Polk,1,396445.6544,3125126.1939
3,10030101,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.041,7,10,Hillsborough,7,388902.9426,3099591.2524
4,94010000,C,02,05-JUN-2005,N/A,N/A,WALTON RD,111085,N/A,01,N/A,ON,2.675,4,94,St. Lucie,4,568866.6074,3019650.1771
5,48110000,C,02,N/A,N/A,ESCAMBIA COUNTY,57TH AVENUE,038,N/A,03,N/A,ON,9.577,3,48,Escambia,3,-104820.2895,3382791.501
6,16030000,C,02,N/A,SR 555 / US 17/3RD S,WINTER HAVEN,AVE O SW,625,N/A,03,01,ON,28.03,1,16,Polk,1,428146.3314,3098254.9208
7,10823000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,4.044,7,10,Hillsborough,7,368292.173000002,3086155.7872
8,72190000,C,02,27-OCT-1986,N/A,JACKSONVILLE,ART MUS DR/HIGHLAND,N/A,N/A,03,N/A,ON,1.513,2,72,Duval,2,441093.441000001,3351707.3618
9,87030001,C,N/A,N/A,N/A,MIAMI DADE,SE 2 ST/BEG 87030001,2224,02,01,N/A,ON,0,6,87,Miami-Dade,6,581471.6248,2850756.0002
10,26003000,C,02,22-SEP-1988,N/A,CITY OF GAINESVILLE,NE 9TH STREET,N/A,N/A,01,N/A,ON,1.464,2,26,Alachua,2,372776.769,3283368.4396
11,87020000,C,02,N/A,N/A,MIAMI-DADE,SW 117 AVE/SW 211 ST,4252,N/A,01,N/A,ON,11.66,6,87,Miami-Dade,6,562655.655499999,2828406.7375
12,78010000,C,02,21-MAR-2006,N/A,ST. JOHNS COUNTY,WATSON RD,N/A,N/A,01,N/A,ON,10.478,2,78,St. Johns,2,469049.7647,3296720.4633
13,75011000,C,02,25-OCT-2022,INTELIGHT X3 TS2-2,CITY OF MAITLAND,TRELAGO WAY,75476,N/A,01,N/A,ON,1.486,5,75,Orange,5,463863.2987,3167636.7302
14,87030000,C,02,30-APR-2009,N/A,MIAMI-DADE,NE 2 ST,6356,N/A,01,N/A,ON,11.09,6,87,Miami-Dade,6,581464.228599999,2851161.5375
15,10140000,C,02,24-DEC-1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,5.012,7,10,Hillsborough,7,345767.461100001,3094583.1796
16,07030000,C,02,N/A,SR 80/US27/SUGARLAND,CLEWISTON,WC OWEN AVE,176,N/A,01,N/A,ON,3.266,1,07,Hendry,1,506357.0966,2959217.2014
17,77120000,C,02,01-MAY-2018,SR 434,SEMINOLE COUNTY,TARRYTOWNTR/ROXBORO,77200,N/A,01,N/A,ON,5.8,5,77,Seminole,5,462896.3341,3174332.1008
18,08050000,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,10.312,7,08,Hernando,7,366223.207099999,3158139.9891
19,14580000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,4.566,7,14,Pasco,7,331233.1353,3124818.5003
20,87140000,C,02,N/A,N/A,MIAMI-DADE,NW 191 ST,3612,N/A,01,N/A,ON,13.096,6,87,Miami-Dade,6,579559.112000002,2870358.0315
21,72292000,C,02,30-AUG-1991,N/A,JACKSONVILLE,GATE PKWY,N/A,N/A,01,N/A,ON,4.028,2,72,Duval,2,448477.343,3346618.0078
22,75080101,C,N/A,N/A,SR 15EB(ANDERSON ST),ORLANDO,SR 15 MILLS AV),N/A,02,N/A,N/A,ON,0.806,5,75,Orange,5,464367.603799999,3156716.4403
23,01010000,C,02,23-FEB-1993,US 41/TAMIAMI TRAIL,PUNTA GORDA,AIRPORT RD/POMPANO,5,N/A,01,N/A,ON,12.489,1,01,Charlotte,1,396025.9514,2977683.7063
24,17070000,C,02,02-AUG-2022,SR 72 / CLARK RD,SARASOTA,IBIS/TALON BLVD,1599,N/A,N/A,N/A,ON,5.708,1,17,Sarasota,1,358000.769000001,3017044.4238
25,86065000,C,02,28-MAY-1987,N/A,N/A,NW 6 ST,1428,N/A,03,02,ON,13.093,4,86,Broward,4,584509.6274,2911966.7413
26,15030000,C,02,20-AUG-1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,3.768,7,15,Pinellas,7,330131.4935,3089115.6138
27,15600000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,0.831,7,15,Pinellas,7,323342.6804,3093759.7876
28,75035001,C,02,24-JAN-1990,SR535(APOPKAVINELAND,ORANGE COUNTY,SR 536(WORLD CTR DR),75180,N/A,01,N/A,ON,0.895,5,75,Orange,5,451292.413300001,3136901.4597
29,14030000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,8.482,7,14,Pasco,7,332176.843900001,3130551.2745
30,88010000,C,02,02-MAR-1999,N/A,N/A,BARBER ST,135,N/A,01,N/A,ON,15.823,4,88,Indian River,4,554667.2199,3071813.29
31,26060000,C,01,16-NOV-1982,N/A,CITY OF WALDO,NW 1ST AVENUE,N/A,N/A,N/A,N/A,ON,26.269,2,26,Alachua,2,387166.666700001,3296421.5233
32,87281000,C,02,N/A,N/A,MIAMI-DADE,E 17 ST,4594,N/A,01,N/A,ON,7.678,6,87,Miami-Dade,6,573572.6609,2857917.1826
