FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
1,2025,2,380018,38010000,11100,C,F,F,F,F,1365,24.894,25.719,9,0,55.6,12.3,1328.4235,N/A,N/A,38,Taylor,2,1328.42347328353
2,2025,7,146033,14610000,51000,C,F,F,F,F,3009,0,1.004,9,0,55.7,5.9,1612.6734,COUNTY LINE RD,SR-56,14,Pasco,7,1612.67335459417
3,2025,7,149075,14000202,850,C,F,F,F,F,61,0,0.344,9,0,55.7,7.2,556.1986,FIVAY RD,HUDSON AV,14,Pasco,7,556.198594447189
4,2025,7,029023,02000028,4100,C,F,F,F,F,373,0,1.077,9,0,52.8,9.1,1732.3796,S PLEASANT GROVE RD,S CASCADE AVE,02,Citrus,7,1732.3795617389
5,2025,2,719001,71000015,22000,F,F,F,F,F,286,0,2.5,9,0,52.7,1.3,4033.7424,SR-21,US-17/PARK AVE,71,Clay,2,4033.74238235949
6,2025,7,142714,14140020,12500,E,F,F,W,F,700,0.403,0.431,8,0,99.9,5.6,45.0218,N/A,SR-56,14,Pasco,7,45.0217555407564
7,2025,7,149072,14000124,9400,C,F,F,F,F,677,0,1.013,9,0,55.7,7.2,1620.3,CR-54,PRETTY POND RD,14,Pasco,7,1620.30002341908
8,2025,1,014196,01070000,21000,S,F,F,F,F,10710,0,1.767,9,0,53.1,51,2848.563,SR 776,HILLSBOROUGH BLVD,01,Charlotte,1,2848.5629639721
9,2025,6,876252,87260405,18500,C,F,F,W,A,2350,0,0.165,8,0,99.9,12.7,263.2775,SR-826/PALMETTO,US-27/SR-25/OKEECHOB,87,Miami-Dade,6,263.277470335017
10,2025,5,702035,70225079,13500,S,F,F,W,2,1121,0,0.175,9,0,99.9,8.3,270.9161,RAMP 70225060,SR 528 WB,70,Brevard,5,270.916056573571
11,2025,2,390026,39020000,5800,C,F,F,F,F,963,0.029,7.402,9.5,0,52.3,16.6,11859.8948,END OF BRIDGE,SW 92 ST,39,Union,2,11859.8948051116
12,2025,5,700425,70070000,8600,F,F,F,F,2,783,0,1.67,9,0,54.8,9.1,2686.9299,SR-520,I-95 SB/SR-9,70,Brevard,5,2686.92991855246
13,2025,7,020028,02050000,35000,F,F,F,F,1,2485,17.626,21.762,9,0,52.8,7.1,6658.7438,US41/SR45/44/S US 41,S SHAD TER,02,Citrus,7,6658.74382567179
14,2025,1,014431,01000027,6500,S,F,F,W,F,3315,0,0.98,9,0,99.9,51,1572.0745,US-41/CROSS ST,HENRY ST,01,Charlotte,1,1572.07446464458
15,2025,2,370238,37120000,34256,C,2,2,2,A,8770,14.57,23.915,10.5,0,54.8,25.6,15039.7667,Bridge No-370009,N/A,37,Suwannee,2,15039.7666524316
16,2025,7,149088,14520000,4500,C,F,F,F,F,324,2.366,9.674,9,0,55.7,7.2,11760.2405,Bridge No-140940,21 ST,14,Pasco,7,11760.2405317637
17,2025,7,149045,14000167,8500,V,F,F,F,F,612,0,1.797,9,0,55.7,7.2,2896.7604,FLYING EBONY LN,CR-54,14,Pasco,7,2896.76038727223
18,2025,5,707107,70506000,9900,S,F,F,F,2,337,9.258,10.203,9,0,54.8,3.4,1521.7647,N/A,N/A,70,Brevard,5,1521.76470854366
